week_end,week_last_trade_date,split,regime,regime_name,x_jm_pc1,x_jm_pc2,x_jm_pc3,x_jm_pc4,x_jm_pc5,x_jm_pc6,x_jm_regime_distance_0,x_jm_regime_distance_1,x_jm_regime_distance_2,x_jm_regime_distance_3,x_jm_regime_score_0,x_jm_regime_score_1,x_jm_regime_score_2,x_jm_regime_score_3,x_jm_regime_duration_weeks,x_jm_stress_score,x_jm_regime_changed,x_regime_0,x_regime_1,x_regime_2,x_regime_3,y_next_return_spy,y_next_return_tlt,y_next_return_gld,y_best_asset_id,y_best_asset
2014-03-28,2014-03-28,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-1.143812085280965,-0.23893826530706908,1,0,1,0,0,0.0049053479585636,-0.0057689309186917,0.0081085593772216,2,GLD
2014-04-04,2014-04-04,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-1.1038028058268363,-0.23893826530706908,0,0,1,0,0,-0.0262337532811506,0.0209292058385566,0.0108306172943919,1,TLT
2014-04-11,2014-04-11,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-1.0637935263727076,-0.23893826530706908,0,0,1,0,0,0.0268856863735698,-0.0061410505271122,-0.017174823130343,0,SPY
2014-04-18,2014-04-17,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-1.023784246918579,-0.23893826530706908,0,0,1,0,0,-0.0005364311075857,0.0116316887267935,0.005450904249906,1,TLT
2014-04-25,2014-04-25,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.9837749674644501,-0.23893826530706908,0,0,1,0,0,0.0095016133195469,0.0148520890139636,-0.0029498743975268,1,TLT
2014-05-02,2014-05-02,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.9437656880103215,-0.23893826530706908,0,0,1,0,0,-0.0005322640316016,-0.0130422101582426,-0.0076763081977743,0,SPY
2014-05-09,2014-05-09,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.9037564085561928,-0.23893826530706908,0,0,1,0,0,0.000479014126439,0.0206758377806886,0.0032232194262462,1,TLT
2014-05-16,2014-05-16,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.8637471291020641,-0.23893826530706908,0,0,1,0,0,0.0122311907896686,-0.007398396739002,8.033844361832188e-05,0,SPY
2014-05-23,2014-05-23,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.8237378496479354,-0.23893826530706908,0,0,1,0,0,0.0122401131425653,0.0124225371871471,-0.0327684664770195,1,TLT
2014-05-30,2014-05-30,train,1,R1: Growth / trend,-0.20193877302424698,-0.3112210799327391,-0.023480034298244575,-0.20991162065970476,-0.13447118131773408,0.12755706166849579,-0.7539682277323152,-0.6721778706640048,-0.5801153121436389,-0.7689872335499811,0.15196815425449567,0.42496918891897917,-0.3306379979792165,-0.23893826530706908,-0.7837285701938067,-0.23893826530706908,0,0,1,0,0,0.0140130576284993,-0.0194716738415984,0.0014946467219103,0,SPY
