"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-01-03","2013-12-30","GLD","Gold Prices Slide as Terrible 2013 Nears Finish - thestreet.com","Gold Prices Slide as Terrible 2013 Nears Finish thestreet.com","Gold Prices Slide as Terrible 2013 Nears Finish thestreet.com","thestreet.com","https://news.google.com/rss/articles/CBMikwFBVV95cUxNaHRlY3lFTTk4YXlvTGRvTGxaZFJRQkw5c0JZZVAzTU1XZVc1cUM1TGxsR0RwMTV1SUhwZHhjcnVjdUU4LUQyOXE0ekpFTVh4YjQwaGlOMTNzWk1laExDc3BSRTZTb1ZkNkdQRFZmNXlkbzVqUVpUVEkyV1FZQmdsSUY5WF9hX0NEVXFtMWk2ZnJ0c3M?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","3"
"2014-01-10","2014-01-05","GLD","Gold price set for ‘modest recovery’ in 2014 - Al Arabiya English","Gold price set for ‘modest recovery’ in 2014 Al Arabiya English","Gold price set for ‘modest recovery’ in 2014 Al Arabiya English","Al Arabiya English","https://news.google.com/rss/articles/CBMiowFBVV95cUxNbEh0MmdvQU9hREcxRy0xU29ma1p3RGszSWVrdzZiUUdCQ3dVUjY3NE9hT3NiRFdicGpxRU5XeXV4dUd2bWVsb0JkZy1BLVQzMVFzd0pBUEVibzZzWm1zNlV3RHdIM0NDZVRGV2FHUERSaWZWczRBWkJsNnFwYnNYU3lvR3NjamNwcDBsZ1JVTEVtSzlCSFlJaUJFb0JDY2hCU3dr0gGoAUFVX3lxTFBIMzlhTWZXXzMxZ3ZFZ1o4TjNxRFR6OE1zUnBtM3ZRRGFEekZ0QzhFWGRmdV9qRU0wWEpEOHpyeFVmd0ZLQWdBbi00TnJVYTNrZnJCeE1yaUpZanc2MTdXaWZxbmFFX1NjYkhZRHFpQURFLVBXWVN2WVIxdk8xaVdnWkVwYnVYWVF5bGpYcFpucHE2VGRsWlhKR0hBVXEwcWZjdFlWcmdxbA?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","1"
"2014-01-17","2014-01-14","GLD","Railway revenue earnings, Indian rupee, BSE Sensex, NSE Nifty, Gold price on Jan 14, 2014 - The Indian Express","Railway revenue earnings, Indian rupee, BSE Sensex, NSE Nifty, Gold price on Jan 14, 2014 The Indian Express","Railway revenue earnings, Indian rupee, BSE Sensex, NSE Nifty, Gold price on Jan 14, 2014 The Indian Express","The Indian Express","https://news.google.com/rss/articles/CBMi0AFBVV95cUxNOE1RR2lhT3JkUzhOblNMWjgzTjYwbjZPSWhDUE1na1dKdEJpQm9zS3FiTUpqWDRxZHQ4bnNGV25aMUlldTZLaUpiOEctVEtKZWNUZlZfbGV6bWkzQzl4bUdaSFJoYVNjR1dMWXhoZ1EzamxZNDdEVGlWZ0kyOEdZclJ0cFV1NTR2aWU0ZC1UM0FndFdwZ21ld2lXc21LNm84WHZ2NkZuTlpyTmFGOVVpS2tuakFXQXozM1o0dmlQOE9GLUJ3TkFLdmFCazBaWjBQ0gHXAUFVX3lxTE4yOERONDVmMFBqNGNIdV9kam1zZlNsRFV1d0dydTlZNG0zWnotODlCMDRPc2dwaGJtcEJvSkVHcjlZUkRsTUVIMEFFOHkyQ1o4SXJKd2poaTNaS0JIOEVOeHdLOXpkWlZSVTRicHNUdDVmVW1BZDR6cnZrcXVfSTMzWExaQ0ZuV1k3clRXbjdxRG4wd0VhRHdWM2NsVnc5ZThyaTd0MU9JRlhmeFRybE1yUFlycFJUM2hLRlNJVXVmamZwY3FEMnBRUkFVWmZXMXk2RlNPQ2R3?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","7"
"2014-01-24","2014-01-21","GLD","Gold Prices Stable - Tempo.co English","Gold Prices Stable Tempo.co English","Gold Prices Stable Tempo.co English","Tempo.co English","https://news.google.com/rss/articles/CBMiX0FVX3lxTE51YllJeFNtQURxREM4SmJrLWx4TEN0YXR3NzJhU1RKNTJxZEszLWo1aDhWUTBxcWVVb1daSXhsb1A5TDkySDk1T3ZKM3Bzc1hVRENLT2J5Y21YdS1tdGow?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","7"
"2014-01-31","2014-01-29","GLD","China's Impact on Gold Prices in 2014 - BullionVault","China's Impact on Gold Prices in 2014 BullionVault","China's Impact on Gold Prices in 2014 BullionVault","BullionVault","https://news.google.com/rss/articles/CBMimwFBVV95cUxNUnZIVlhhelZWX2NhLVFZZ1o4bVNPSlZGY2hrbEk1Y1lQaVcyTUJXdVQ4dE5oY2dqRFlqd2pZNWRZcU0xOW16UmFSeEs1VmFyczZoU3g4ZEJfY1lNUWE1aFpLZ2NvSzk3Z0g5ZG52MkhJRGJUOGUzbjRBallJRGlITU9mMXF3MWxhTUF1UlQ5S1BGdzlza2w4WFp0RQ?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","2"
"2014-02-07","2014-02-02","GLD","What's going on with gold prices? - Gaston Gazette","What's going on with gold prices? Gaston Gazette","What's going on with gold prices? Gaston Gazette","Gaston Gazette","https://news.google.com/rss/articles/CBMijgFBVV95cUxQb3VxbXQ0MTQ2bUtjaGw1aHZhYThWR1I1bTBVMkZXMm1jQzRDNF9Obk9ORmtXc2J3ZGtZclEtUnJldUNRYlFHWjhNRVY2MGZvQTRpVEFuSnpJZUt5MENoM3lSdzRpY04xbjhoYTVmSzBfcVFvX3BGNDBSUjFldWcwRVhaYmRZcDBULVdNcGt3?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","1"
"2014-02-14","2014-02-11","GLD","Gold prices rise amid China's missing bullion mystery - The Telegraph","Gold prices rise amid China's missing bullion mystery The Telegraph","Gold prices rise amid China's missing bullion mystery The Telegraph","The Telegraph","https://news.google.com/rss/articles/CBMitAFBVV95cUxNVmtlOXJ4V2FnY0c5SXN2eU5KcVduZjFUSFpDQWFfckViZnhjcGkxNUItVGhOTi1OSUJISlVXT2xBOHBoMHZqTGx3VnBYQjVHTVZnVlpDWlJiNk9OVjZHTVV4NUlnLVFzbC1xQUtiNlQwTkwyN0REQzNFU0NkcVpELVNNMjF5QmFBTzVocDNfSVk2bV80c2d6b3o1eW1SUkZOTFY5VHhnMVR3UHQzN1JoaDN2YlM?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","4"
"2014-02-21","2014-02-15","GLD","Gold prices rise - bdnews24.com","Gold prices rise bdnews24.com","Gold prices rise bdnews24.com","bdnews24.com","https://news.google.com/rss/articles/CBMiWkFVX3lxTFAtS3MxaTEtaHowVHZUbEF6Y2J1MWMyVEtpd3FvYjFXTTdZMURPN1dIakM1Qzk1a3BqYklCZFFVZEZPY1g2NXRFRGh0bzRxTmV5bTBvaTI5TG04UQ?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","6"
"2014-02-28","2014-02-25","GLD","The Coin Analyst: Why I Stopped Collecting First Spouse Gold Coins - CoinWeek","The Coin Analyst: Why I Stopped Collecting First Spouse Gold Coins CoinWeek","The bronze medals do provide a low-cost alternative, but they are not very attractive artistically, a criticism also leveled at the gold coin coins. And there is of course also the draw of low mintage coins. I was speaking to my local dealer recently, an establishment with over 40 years in the business, and he told me that even when he offers First Spouse Gold Coins to customers for a lower premium than regular bullion American eagle gold coins, buyers want the eagles. It is also a lot easier to collect since the coins are made of half as much gold as the First Spouse Gold Coins, just under a quarter-ounce instead of a half-ounce. Then later if you are able to, you can sell the proof and buy the uncirculated coins.","CoinWeek","https://coinweek.com/first-spouse-gold-coins/","gold prices","1","1"
"2014-03-07","2014-03-07","GLD","BSE Sensex, NSE Nifty, Gold Price on March 07, 2014 - The Indian Express","BSE Sensex, NSE Nifty, Gold Price on March 07, 2014 The Indian Express","BSE Sensex, NSE Nifty, Gold Price on March 07, 2014 The Indian Express","The Indian Express","https://news.google.com/rss/articles/CBMioAFBVV95cUxQd2NrZDVSRm84WlNCVEl1dkFGV201UXRZSEZNeEU0ZXV6X3BWcEdfUGVRYzI2ajFhSGNEc21JajkwLVdfZXJCSE8yMkk1cjhnRW9za0ZOTVFfRS1HaVQ0SnluYjRTNTV5NXhkZTZNOE1BME5DS1RVR3ZlbktRZF9SZTJHaEdnQWdueU5mbm1zaHBoU2xqVTJmQ3BIdXJBbzBm0gGnAUFVX3lxTE1sdGpKNUxoLUxad29uVkNlYVBLMGNaSnYxQmpZcUFYc0pkeGdLSjlJTkVZUEVUc1RlVEdHRjJnTGVIZy11ZU9HeVRjOTZRbDRsOUg1UGpnTk5pWDR1bGFsYmNnQ3VPMkVqSEVDSUoyQ3NsLUxLT3hTMHdMcWN6LTh1SDFLVTh1SGltOEcxckN5YUE1LVRIYUNDbHU1bGFSUzZ1S2Vtakcw?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","2"
"2014-03-14","2014-03-11","GLD","How ETFs Alter the Dynamics of Gold - Institutional Investor","How ETFs Alter the Dynamics of Gold Institutional Investor","How ETFs Alter the Dynamics of Gold Institutional Investor","Institutional Investor","https://news.google.com/rss/articles/CBMiswFBVV95cUxPQzItUzAzdUhtS2ZHX21lVlliRXRMX3ktV3U3RzVRbzdSaTdKQ3diVG1wdERINW1CeVZuNXhMQTh0X0dlYW84a2pwZUJrTkMzUWl2UFRsVVpCdGhqeENuXzR1UkQ3UGxpcFZHTlV2ZzdRejNMamJxYUFTaHQwUjM0aXByVFU0dExZa3dQb184Rm1SNllKSUxTYklsSGZUNTJ2aFVkVGtxN3NuQXVNV3pXdE0zUQ?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","1"
"2014-03-21","2014-03-19","GLD","The Stock Market Priced in Ounces of Gold - GoldBroker.com","The Stock Market Priced in Ounces of Gold GoldBroker.com","The Stock Market Priced in Ounces of Gold GoldBroker.com","GoldBroker.com","https://news.google.com/rss/articles/CBMicEFVX3lxTE9pY3pGRmxfZlFCT0FSNmVQSDZTNFZENkZLQjJ0cFNLSnNUUzdwS29lUDE1cl9fZ25mcXFQWFJmZHpVOUNrelVtc19oMGVDYWRfVVdJQnVudDRUenQ2RDhNWjgzci15YU5YYmJPZXM5UzE?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","1"
"2014-03-28","2014-03-26","GLD","Congress manifesto, Lok Sabha polls, Indirect tax collection, Indian rupee, BSE Sensex, NSE Nifty, Gold price on March 26, 2014 - The Indian Express","Congress manifesto, Lok Sabha polls, Indirect tax collection, Indian rupee, BSE Sensex, NSE Nifty, Gold price on March 26, 2014 The Indian Express","Congress manifesto, Lok Sabha polls, Indirect tax collection, Indian rupee, BSE Sensex, NSE Nifty, Gold price on March 26, 2014 The Indian Express","The Indian Express","https://news.google.com/rss/articles/CBMigAJBVV95cUxPVVJMM3pUcGVBUnZ3b1hZSGotdDhrYTFZczJGZ2dOckNqU3lqRjFhZk9OaE1qUzlQWllKc3M3bnQ2QVA5ekZTTTVCeVphZnB6UHVSb244X2g2Q2p1dDRrY0UtNzNQbFRpVmE1VDNORHRBNjF0MDQ4cXFjVVQ5RlpNbW5VV1B0Y1Mycldnc1haaDlYTVBGdW5EWWszM0huSnhhOFp2LXVzZnBIWW1VZ2xCOHdYVzN0cUl2SDNGR2VWYTJZZF80UTRmaGVZQzZGSlBfQWx4MTQxLWpqUnZfQzZvQ1pCdF9jUlFRNlEteXlwSm94Sl9oNEY4dGZHWjMyVlJz0gGHAkFVX3lxTE15SHhIZ0U3RUtCcmpRS1MtZzk1bHYzbGZLQWZXNkxKZmRiRnhSdU8zNmh1N2xWaTQ4U09URmxwMlFhV1NpRUJZd0dXU1V2NHJNSDV3czAweC1pbW5RSktBWjJYMXFIUm1qUFlJWEJMTUdycDBMc0xXMW82bERFekZVYVpmYmc4My00Z3NmRXVpVVVGRy1yOHoyLTJsLXBkTXdlaUcxY2ZXWXc3TlhaaU1pTHl3Q2x2UHM5bldTQUFJbGQ1TlBGN0NoM3dFZGcxRHE5aHM5clc4d1ItNGFNekxLZlpseHdZeWE1TlBNNXFoSk5sTlprQTZPbXY4SWtRaTJ4Ylh1el9B?oc=5&hl=en-US&gl=US&ceid=US:en","gold prices","1","7"
