"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-01-03","2013-12-31","SPY","Wall Street closes 2013 at records; best year in 16 for S&P, 18 for Dow - CNBC","Wall Street closes 2013 at records; best year in 16 for S&P, 18 for Dow CNBC","Wall Street closes 2013 at records; best year in 16 for S&P, 18 for Dow CNBC","CNBC","https://news.google.com/rss/articles/CBMiWkFVX3lxTE1ycGlnUzY3b0xqR1pKUk1HR0hHN1ZNMk9oQmVCdUN3YU9MZWc3eExLZzF5cTdoZVR3M202Ynh2TjdzbnBWZERBa2drODI4TTMzREhyNEtUbjZwZ9IBX0FVX3lxTFB3X29ycGRPRF80WnpQYlI1aGRhcG1QR2MyUXg3NzlrRnU1Z2txWmRrVVVQNVlDRF9jckZwREZ2RDAxX01keGE5ZnY0UjBEX1BDZEZtbWRuU3NjcnpsdEg0?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","1"
"2014-01-10","2014-01-07","SPY","Wall Street's Biggest Bear In 2013 Just Published Her 2014 Outlook, And It's Wild - businessinsider.com","Wall Street's Biggest Bear In 2013 Just Published Her 2014 Outlook, And It's Wild businessinsider.com","Wall Street's Biggest Bear In 2013 Just Published Her 2014 Outlook, And It's Wild businessinsider.com","businessinsider.com","https://news.google.com/rss/articles/CBMiggFBVV95cUxPYTJvbGZHU09BSlQ3NEtBMHo4eEo4NUc0dFozM0ZfNjBOOFNwVUhDak9fdDBLdVBmNGFmR0s1Z3dLbEd6ejhSWGRDb0x1UV9aTGJpUnJCMGppY0tjUWdvaExhUHgtTlNrdnFFaFltOWk1Y2FLemE5QThCMFpqNTgxREh3?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","3"
"2014-01-17","2014-01-16","SPY","Finance Students Get Taste of Real World Stock Market, Investments - AUC","Finance Students Get Taste of Real World Stock Market, Investments AUC","Finance Students Get Taste of Real World Stock Market, Investments AUC","AUC","https://news.google.com/rss/articles/CBMiogFBVV95cUxNSjhOdHFhdjNveGtGM1JZaUVTSFF1OEdqa1FGUXA0VEJVNlpTVkhzUWllMGhoYXQxUUh5Rk5LbnY3Q2YtTlVQYmFob1dIZ3hTaHJEQWdWWkxua3R6dG5uTzRuOGRZY1gtQTN2V3FsS2pOMlhadXhqaG95MGMzZmhTQ3MtM0ZqSnlFeXRncG1BWjQ3UHBRS2RCZmt1MTdEVUJlSFE?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","2"
"2014-01-24","2014-01-22","SPY","This One Chart Shows Why Predicting Stock Market Moves Is Ridiculously Hard - businessinsider.com","This One Chart Shows Why Predicting Stock Market Moves Is Ridiculously Hard businessinsider.com","This One Chart Shows Why Predicting Stock Market Moves Is Ridiculously Hard businessinsider.com","businessinsider.com","https://news.google.com/rss/articles/CBMiekFVX3lxTE5JZ013STFGbVlSb25tYXBieUZaUmtYbXJUNXl3dW93YThuc2poTkZ5MTlxVk45aVhkek1idThMNXoyN29ITGYzUEFJWkpUOFFFWXlyTFUwUFhRS3JfOUFTM2pyMFNVQVd5MXJYYmZMVzVTUl81MEVTb3ZR?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","1"
"2014-01-31","2014-01-27","SPY","Stocks will fall as long as the Fed continues to taper: TrimTabs' Biderman - Yahoo Finance","Stocks will fall as long as the Fed continues to taper: TrimTabs' Biderman Yahoo Finance","Stocks will fall as long as the Fed continues to taper: TrimTabs' Biderman Yahoo Finance","Yahoo Finance","https://news.google.com/rss/articles/CBMie0FVX3lxTE91R01uVkd6Q2NTNXVYQ0RGN1BCSG1vcW9YOG1PT3NNRWlpelBfenZzTUJ0OHgzMUxORTR4aFZqT09Gd081THNrLWtaSzNvbU5HTi1MMTc1a25HRFAwYTF3b2I2Tm8yMUwtQWZEcEoxVHM4QU1tMndRaDFEYw?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","8"
"2014-02-07","2014-02-03","SPY","2014 stock market selloff intensifies - USA Today","2014 stock market selloff intensifies USA Today","2014 stock market selloff intensifies USA Today","USA Today","https://news.google.com/rss/articles/CBMilAFBVV95cUxORlZoU3hUd0lEZmFyQWhsMGlFdzdrZWJvM0VQcWFaSXpBWWFnWXBLQlJKX2VJTUpsVEF5OW1ZVmJJdGZIUlNockpzbDJyUXNvUXJyNnpLaGgwOWo4Tzg2OERtTE1FQkgwU2ZoWDBfUTRXYmtaZUFmaktEYjBCV3QzRnFkQVdWQzZITGFKYWpRa3ppNVlC?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","3"
"2014-02-14","2014-02-12","SPY","Stock Market Outlook: Stocks Surge On Yellen's Comments - Investing.com","Stock Market Outlook: Stocks Surge On Yellen's Comments Investing.com","Stock Market Outlook: Stocks Surge On Yellen's Comments Investing.com","Investing.com","https://news.google.com/rss/articles/CBMingFBVV95cUxNb1VUaWNUUEc1eDZSYTR0YlZRVG9vNVlwaFRaX1RyYWlOYWVKS0JWQlBrQlhLdkpXai1ZUHc2amRpbzhBa1EyN3h4SGd5LVY2UkZvaGh3MENCUHlaWmE5SG9WUEg3SU1uNS1GYk5yeko5NTZMQ2RNYS1vcl9tU01ZSU5tOUsyM2FOalFTXzhVVnBIY2g5QWVGcDVNVjAwZw?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","9"
"2014-02-21","2014-02-18","SPY","Wall Street movies predict stock market crashes - The Washington Post","Wall Street movies predict stock market crashes The Washington Post","Wall Street movies predict stock market crashes The Washington Post","The Washington Post","https://news.google.com/rss/articles/CBMirwFBVV95cUxOeGdZWURJbUxudGh6UVZ2V3B3LXQwdmczdGJEdU0yZHVLQ1p4TG1pOTZJczZ4ZDdwSzNzWXB1NEtfWG1WRGJuRVVqXzBqV3dPaTRxaWM3VjFTUC1WTkVGYlEtcTUzOTRaRVM1Z1ExdEpHSFlBMzFIVWplSmpnWl9xMGtoT2lqanppdXdfZzR6RDY3ck4tU0JGXzhuVU5icXlRbS1WeDBhd3RvV0o5Zkl3?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","4"
"2014-02-28","2014-02-28","SPY","Socialist Venezuela: World’s top stock market - Al Jazeera","Socialist Venezuela: World’s top stock market Al Jazeera","Socialist Venezuela: World’s top stock market Al Jazeera","Al Jazeera","https://news.google.com/rss/articles/CBMikgFBVV95cUxNYjdoMVZCVWtoU2hGdERCVWw5Vk9kcXM0emZUZ0FMeGxfME5abkdDZnppSGNlNlRyMmR1OENPME1LMTVZcUxDNWFseDNqS2Rac0g0NzNaV3lPVE1YVEdTRTlPLUFTU3NwOHM4Z3ZZT3I4TkZHa2VTMHE4Wk8wcHVLcTAxbVNRZGdCQ2Q1WHVzeFVWUdIBlwFBVV95cUxNM1JqV0NsNEYtQTg5bFVKc1NZQXk4WWNiTFdtRE5KOEt6TXhuS3BzTEEzck9tT2tCU0hxUzdtdi1ZdlNVUmJNQ3dlZHpsemRyeFU0Um1LNDRvb0s4NE1SUGQ5UTBZb1liWkhUdTlfQkFRRVdmX2dtNHlqWV9Tc0EyWW9oS0xjM2U3TGpyNjB2VDc4dlhMdW5v?oc=5&hl=en-US&gl=US&ceid=US:en","stock market","2","1"
"2014-03-07","2014-03-06","SPY","Stock Market in for Roller Coaster Ride? - lifehealth.com","Stock Market in for Roller Coaster Ride? lifehealth.com","Without it, you couldn’t make money in the stock market. Volatility can be your friendSo, we can expect to see more volatility as markets reprice and we adjust to a more normalized monetary policy. However, the last negative-return 10-year period before then ended in 1939, and each of the trailing 10-year periods since 2010 have also been positive. The return dropped dramatically on a portfolio that was out of the stock market entirely on the 90 best trading days in history. *Data source: Calculations by Broadridge based on total returns on the S&P 500 Index over rolling 1-, 5-, and 10-year periods between 1926 and 2014.","lifehealth.com","https://www.lifehealth.com/markets-continue-the-roller-coaster-ride/","stock market","2","2"
