"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-01-03","2013-12-30","VIX","Profit From Investor Fear With This Simple Tool - Yahoo Finance","Profit From Investor Fear With This Simple Tool Yahoo Finance","Profit From Investor Fear With This Simple Tool Yahoo Finance","Yahoo Finance","https://news.google.com/rss/articles/CBMihAFBVV95cUxPX2tHQzR0bGlQdVg2YWZOZnc5Zmw1ay10T0pXSm03d29oc09aMVlXVDZhaHNaM1dYZnpjN3NERTlZUDdIZzAwTzJrYjhkV3ByOEVILUMwVC0yd1FjRi13NGxtUFpaMWIydDBMVGt4WWllSXY5ZktYSXVacHYwVjB2QmJKclQ?oc=5&hl=en-US&gl=US&ceid=US:en","VIX index","1","1"
"2014-01-10","2014-01-10","VIX","MAJOR HOLDINGS LTD. (1389) - stock price, quote, history - hkex.com.hk","MAJOR HOLDINGS LTD. (1389) - stock price, quote, history hkex.com.hk","MAJOR HOLDINGS LTD. (1389) - stock price, quote, history hkex.com.hk","hkex.com.hk","https://news.google.com/rss/articles/CBMijwFBVV95cUxNc2c3S2xOS2x6RUZSZzFBaG5OU1I3VXRLN2hmUmcxenpJNGhoa2o5dXlNTDZucU9zOWVNeUxLMGlBUWhRckdvUUVuMXJrekxvemhZV0J6QWp4NmM2akFVZjhackZaZ2RaN3VYX2ZjbklGY2dsNDNwMnlobDJHVVQzS0tDbEVGTHZvMHVRN0tBbw?oc=5&hl=en-US&gl=US&ceid=US:en","volatility index","2","1"
"2014-01-17","2014-01-14","VIX","How to Take Advantage of Interest Rate Volatility - ai-cio.com","How to Take Advantage of Interest Rate Volatility ai-cio.com","(January 14, 2014) — Interest rate instability can provide a way of generating alpha returns, thanks to a gap between implied and actual levels of volatility, according to Nomura. The investment bank assessed how the volatility risk premia (VRP)—the gap between the implied interest rate volatility levels (which tend to be higher) and the actual rates—behave in today’s environment, and discovered VRP strategies performed well, even when volatility levels fell. But the reality is that implied volatility rises to such an extent that systematically selling it provides good returns. And this implied/realised volatility gap is what really matters for VRP returns.”In addition, Nomura’s data analysis found the strategy even worked when volatility levels were low. “Given the real prospect of higher interest rates in the years to come, it is especially important that interest rate investors consid","ai-cio.com","https://www.ai-cio.com/news/how-to-take-advantage-of-interest-rate-volatility/","market volatility","3","4"
"2014-01-24","2014-01-21","VIX","NSE gets nod for futures trading on volatility index - NDTV Profit","NSE gets nod for futures trading on volatility index NDTV Profit","NSE gets nod for futures trading on volatility index NDTV Profit","NDTV Profit","https://news.google.com/rss/articles/CBMipwFBVV95cUxQN1VJOHpVTmdzVFBuV2pkaGVfaWw3N0N1dzl5a2lTWFcyXzhmOVhjaFRRUzhpN2xpcHhXa2JQNlJfSFdyQTdWT3oyMmNCci1pY09rY0xtVWFMVDZKRXBvVXFVTUFuTmRjZGtrQ0tORmpoSVJ6NmNWMlJySDJPME1pOEN5NWM3WFZDQkJyLVNnS3VMUmxZcU1YdHRmcWc3MFlNWm1FbjlLUQ?oc=5&hl=en-US&gl=US&ceid=US:en","VIX index","1","1"
"2014-01-31","2014-01-30","VIX","Incredible VIX Indicator Triggered Surprising Signal - Yahoo Finance","Incredible VIX Indicator Triggered Surprising Signal Yahoo Finance","Incredible VIX Indicator Triggered Surprising Signal Yahoo Finance","Yahoo Finance","https://news.google.com/rss/articles/CBMilgFBVV95cUxNY1k0RWlnaEVGRFM5T0IwNms2VzVEd2tHYXNtSWpFUTEwTEJuN1hVMTJzeV9xb3lwaE5tbzdVUXpDX0hpWUxIZDRFX01rTGZOMW15RkdyWE5pdXhMTU5oT2w1dS05QkNUU21IR0tTMjNyTUdnc3BUSkI3ejJnRnFqQk1Ucm1XQ1RDQ2syV3VrUVZQYXVsSXc?oc=5&hl=en-US&gl=US&ceid=US:en","VIX index","1","1"
"2014-02-07","2014-02-04","VIX","The Chicago VIX-Sensex tango - Mint","The Chicago VIX-Sensex tango Mint","The Chicago VIX-Sensex tango Mint","Mint","https://news.google.com/rss/articles/CBMijwFBVV95cUxOMWV4bWJ4VF9wQmFTR0g1YnlNbloyZWcxOXUwbG5VNXNpSzlMeXg2SnM0eVNBQmVDY3JXazZmRFlZM0d6bEhKSUVGZWg5THRoMUZiNWRsUExicDl3SmpuYzg3VV9IOWlfTHVPRTRJWUI1Uk50czN6aVJjdlY3b3NzdjlGY1pUMkRyLXItZV91c9IBnAFBVV95cUxQRUNSTjZpaUVrVWsxaUM4ZGhLZTBqN2NiaDRCNkFHYlVjbkkxTEFZX0FmMmdNWmEtS3l4dFlfczluRnhkMFRqYVRrVjU2X2JSTnJydGhhVmt2MkVURWtOOUwyUEdwcnI2Q3lwdnNQbTM2VENydlRlazZmY1FPVjBYR21wdXRhWkZKbExyZVFHVWdJWjRBRHJub3lmbjc?oc=5&hl=en-US&gl=US&ceid=US:en","VIX index","1","2"
"2014-02-14","2014-02-12","VIX","Doing What It Says on the Tin: The Value of Volatility ETPs - CFA Institute","Doing What It Says on the Tin: The Value of Volatility ETPs CFA Institute","In what follows, I’ll explain why the most common criticisms of volatility ETPs are misguided. My view is that in the presence of a large volatility risk premium,1 a perpetual and static “investment” in volatility will be unattractive for most investors, regardless of whether capital is allocated to put options, volatility futures, volatility ETPs, or related products. As time passes and expiration gets closer, a VIX futures contract converges to its expected final settlement value, just as a maturing bond converges to its par value. Nilsen lists several assets as examples of preferable alternatives to volatility ETPs, but it is worth mentioning that all of these are subject to the same points discussed above. Variance swaps are convex with respect to volatility, and the difference versus volatility swaps (VIX futures, VXX, etc.)","CFA Institute","https://blogs.cfainstitute.org/blog/2014/02/12/doing-what-it-says-on-the-tin-the-value-of-volatility-etps/","VIX index","1","2"
"2014-02-21","2014-02-17","VIX","Do stress hormones fuel volatility in financial markets? - Los Angeles Times","Do stress hormones fuel volatility in financial markets? Los Angeles Times","Do stress hormones fuel volatility in financial markets? Los Angeles Times","Los Angeles Times","https://news.google.com/rss/articles/CBMipgFBVV95cUxQem13dmJFTHQ4TkRhaXA5YkFZVWxtMkdmZzRSREdBQnNBT1RqUnoxbnUxOER0azZfaGV0QTFJSFFsRVRUSkxaakk3aW1fX2Jrd0VKVFBpLVFBeWZiQUJvWURtb3RQWmd6LUFsdzUtalZPV3BzUjNtdGNnTTRoR0VLMTFtb3ZVNnNhVHpZeVUzOFViTFJLcEU3MEVxWjByaU9rTk42cGFB?oc=5&hl=en-US&gl=US&ceid=US:en","market volatility","3","3"
"2014-02-28","2014-02-27","VIX","Research Highlights | Menachem Brenner: Volatility Index Innovator - NYU Stern","Research Highlights | Menachem Brenner: Volatility Index Innovator NYU Stern","Research Highlights | Menachem Brenner: Volatility Index Innovator NYU Stern","NYU Stern","https://news.google.com/rss/articles/CBMikAFBVV95cUxPU1FYQmNKak4wU1hadUh4ZnkxUHZTOHBDRmlBY3l2M21vNmRuZUs0aDBGTU13ZWtOcldFbkZUdkZLUTdCYVdZdVNlM3RPRm92Y1hBWVhRXzBjS2lfa29FN3RXMHRFV2cwMGxzZ3RYdlppMjBMektUNnFSbHEwR3VLR1U3ajU3RHNFdjhPT2Y1V0k?oc=5&hl=en-US&gl=US&ceid=US:en","VIX index","1","1"
"2014-03-07","2014-03-05","VIX","U.S. dairy producers have faced increasing price and feed cost volatility - USDA (.gov)","U.S. dairy producers have faced increasing price and feed cost volatility USDA (.gov)","U.S. dairy producers have faced increasing price and feed cost volatility USDA (.gov)","USDA (.gov)","https://news.google.com/rss/articles/CBMihgFBVV95cUxPcGR2a0pMTWQ4TWRfNXlLc3h1TUN0M1MxczRUY3RqVmx1REtJZVVlTHNCOGNYVV9KZnFzOWtvMmlWQmtnRW8wOXh5aVpiclhpTlhxWEpZSEN1dDM2bm1sb0lsYUxUZ2NOZFJKeFJ6dFpwWkVNcVBCWjJrRHNjcjZqdThmTEpEdw?oc=5&hl=en-US&gl=US&ceid=US:en","market volatility","3","2"
