week_end,week_last_trade_date,regime_filtered,regime_viterbi,hmm_selection_role,hmm_selection_reason,hmm_feature_preset,hmm_selection_mode,hmm_n_states,hmm_n_pca,hmm_cov_type,hmm_selected_seed,filtered_prob_regime_0,smoothed_prob_regime_0,filtered_prob_regime_1,smoothed_prob_regime_1
2014-03-28,2014-03-28,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,1.1910123249448304e-15,8.485891405068505e-16,0.9999999999999982,1.0
2014-04-04,2014-04-04,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04107824308532912,0.026553966829232088,0.9589217569146712,0.9734460331712098
2014-04-11,2014-04-11,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04290745375983039,0.04531228107574693,0.9570925462401668,0.954687718923634
2014-04-18,2014-04-17,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.3681885643230981,0.08095890622827608,0.6318114356769055,0.9190410937720327
2014-04-25,2014-04-25,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.08059394110454084,0.03177612602529877,0.9194060588954602,0.9682238739744026
2014-05-02,2014-05-02,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.2390709118288769,0.03532237703320114,0.7609290881711197,0.9646776229666947
2014-05-09,2014-05-09,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04715355825549881,0.007061183552012329,0.952846441744498,0.9929388164476584
2014-05-16,2014-05-16,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.03313159120010333,0.004382389833553078,0.9668684087998969,0.9956176101662384
2014-05-23,2014-05-23,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.019487943301211882,0.002493820865065124,0.9805120566987819,0.997506179134389
2014-05-30,2014-05-30,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.011043581399464927,0.0018649802404956228,0.9889564186005319,0.9981350197600669
2014-06-06,2014-06-06,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0367156417686113,0.003858186215275908,0.9632843582313971,0.9961418137841604
2014-06-13,2014-06-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0036992038984855063,0.00044474915367702334,0.9963007961015125,0.9995552508471041
2014-06-20,2014-06-20,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.008705554405790718,0.0011092792800610873,0.9912944455941954,0.9988907207202811
2014-06-27,2014-06-27,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.005383033492304673,0.0015720786236443568,0.9946169665076838,0.9984279213761723
2014-07-04,2014-07-03,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.07196864912892102,0.009436071891805486,0.9280313508710908,0.990563928108565
2014-07-11,2014-07-11,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.02115728018565699,0.003199902665213841,0.9788427198143315,0.9968000973353517
2014-07-18,2014-07-18,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.021542711571838936,0.0033832672887637544,0.9784572884281499,0.9966167327112296
2014-07-25,2014-07-25,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.009011103259862383,0.0037720382489334825,0.9909888967401403,0.9962279617516127
2014-08-01,2014-08-01,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.09340747480552695,0.01665887629255525,0.9065925251944686,0.9833411237075115
2014-08-08,2014-08-08,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04867070236401489,0.009841602876179575,0.951329297635958,0.9901583971234672
2014-08-15,2014-08-15,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.06355959982090335,0.009179396141091395,0.9364404001791189,0.9908206038581525
2014-08-22,2014-08-22,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.040317950255063614,0.004449014723523111,0.9596820497449515,0.9955509852758224
