week_end,week_last_trade_date,regime_filtered,regime_viterbi,hmm_selection_role,hmm_selection_reason,hmm_feature_preset,hmm_selection_mode,hmm_n_states,hmm_n_pca,hmm_cov_type,hmm_selected_seed,filtered_prob_regime_0,smoothed_prob_regime_0,filtered_prob_regime_1,smoothed_prob_regime_1
2014-03-28,2014-03-28,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,1.1910123249668503e-15,8.485891405253734e-16,0.9999999999999982,1.0
2014-04-04,2014-04-04,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04107824308531949,0.02655396682932869,0.9589217569146814,0.9734460331712098
2014-04-11,2014-04-11,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04290745375980722,0.04531228107574693,0.957092546240194,0.954687718923634
2014-04-18,2014-04-17,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.36818856432288355,0.0809589062285706,0.6318114356771164,0.9190410937720327
2014-04-25,2014-04-25,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.08059394110440798,0.031776126025472175,0.9194060588955909,0.9682238739744026
2014-05-02,2014-05-02,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.23907091182854057,0.035322377033393894,0.7609290881714549,0.9646776229666947
2014-05-09,2014-05-09,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04715355825539092,0.007061183552038017,0.9528464417446062,0.9929388164476585
2014-05-16,2014-05-16,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.03313159120004636,0.004382389833569021,0.9668684087999518,0.9956176101662384
2014-05-23,2014-05-23,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.019487943301187787,0.0024938208650696603,0.9805120566988098,0.997506179134389
2014-05-30,2014-05-30,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.01104358139945708,0.0018649802405057998,0.9889564186005319,0.9981350197600669
2014-06-06,2014-06-06,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.036715641768594605,0.003858186215296962,0.9632843582313971,0.9961418137841604
2014-06-13,2014-06-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.003699203898483509,0.00044474915367945033,0.9963007961015125,0.9995552508471041
