feature,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24
spy_ret_1d,-0.06868696472924941,0.06368308065689196,-0.06211719263415269,-0.07590077770539738,-0.19104324615080592,-0.01770262340566448,0.072587567769719,-0.10005552129203804,-0.04712620208313347,0.19318988095991843,0.4074992945724458,0.22397491219016852,-0.08972290925152426,0.04040241050444479,-0.02690556114001707,0.5082467538498342,0.0058277537394999575,0.09421043278935903,0.09324301740992062,-0.22295108374071132,0.23093775551307397,-0.19217172842168634,0.20532153144809134,-0.08138279415679589
spy_ret_5d,-0.1476620999586269,0.0930920120230892,-0.023837075222277182,-0.1964465062817915,-0.26762333106804376,0.01744364859775266,0.047807752462330835,0.008580509807128364,0.21682762239082368,0.1807077417557815,0.12311497586087933,0.06454227727621199,-0.06110369741580107,0.08086258999682225,0.09971616224325665,-0.010483485101349818,-0.1775151837971966,0.21553132141366244,-0.07551142611256159,0.18304410870541404,-0.06708308061088183,0.025293480577899777,-0.045329954602601655,0.09747343575133616
spy_ret_20d,-0.2294201363943119,0.12212754554510807,-0.010039363766730014,-0.18682263493429174,0.02443166701949001,-0.03010441142097633,0.14885269966443238,-0.01636045687201812,0.09998893264084102,0.10751175368202173,-0.14939483081527039,0.032868743168738446,0.09262941171223563,-0.06493048991259939,-0.002065549969188513,0.1975427379242606,0.08761997355068958,-0.10599448870840365,-0.021184448881482226,-0.03695665396394565,0.10935030568249883,0.04030402022233168,0.16065587890080144,0.12690616909348407
spy_vol_5d,0.2758212315213622,-0.12211026267276706,-0.045357779938614395,-0.017922975357880844,-0.053365794349050866,0.03882490237537367,-0.06693631012115127,-0.0017418100734568343,-0.08282268770160198,0.025369672191274617,0.14917248531077232,0.013502569670331532,0.014200606398183928,0.06684008438676013,0.08024949838707914,0.1155645654095113,-0.011482953803746464,0.0944468045234873,-0.0912836408203145,-0.07956284954193758,0.0362966923389961,-0.06882824021201048,0.11108552695366386,0.027624456733632903
spy_vol_20d,0.2623418992463978,-0.10957236472890608,-0.06864531736250623,-0.11488589537450453,-0.1895303451987591,0.0076532095747995355,-0.06739376195128932,0.0346469356114211,-0.06489174989366538,0.026050055431889336,-0.021573500335519455,-0.025130123160996796,-0.04705646933152676,0.036113497658421645,0.15317402695273347,0.01624027716513818,-0.08553089889357222,0.026776415455140645,-0.00541036106105975,-0.06141514749190889,0.008218316522658864,0.09170442577208698,-0.0025927220828518283,0.13875474902768964
spy_drawdown_60d,-0.2813172221348669,0.10306229110717563,0.04601057935212666,-0.008953178017474583,0.0582408910769244,0.016731108072195047,0.14080792727442007,-0.04865400903133843,0.16905312194417846,-0.026546824680932807,0.04819156091237736,0.010740653617572801,0.15008557236346579,-0.04609775688737776,-0.11051601685981247,0.08827103251457497,0.038256521015912724,-0.018458409880575094,-0.03950841191387003,0.004099656858609052,0.014167439111515967,-0.09819463853834909,0.023013577771373847,-0.08611889177908853
spy_ma_gap_5_20,-0.21301071090748605,0.10712031847025766,-0.002881444146191181,-0.18941165441008864,-0.001627287147763834,-0.023885530183060093,0.13134157341864097,0.005176530331950063,0.11430995536198957,0.0809314325223735,-0.29990504746479685,-0.03449527016702081,0.08829789134840833,-0.09560518683587702,0.03792817762717628,0.07888800169415543,0.05338231385869723,-0.15117947531478407,-0.00798038811845439,-0.10312870090823613,0.013453994859980362,0.16130106067541206,0.09494415453724392,0.20708929912100063
spy_intraday_range,0.2776689948345181,-0.10738351776796758,-0.027089780980558198,0.023793644243224943,0.09596132966192007,0.004055317898914335,-0.05409119790555067,0.01972624976780607,-0.08922314753751864,0.02848218343626896,0.03713472175100034,0.037538480392722576,-0.009703038647838051,0.012576269196254812,0.0646178756642067,0.17130303272646427,-0.003148346725073461,0.11358221953001169,-0.09437198549100442,-0.11609466281974062,0.01358379177352817,-0.00823714964112185,0.1853495413585531,0.0609954960857663
spy_volume_z_20,0.07919717971730997,-0.024306021299048068,0.03954312006831365,0.13849045550865913,0.38412020875327935,0.01756473036281625,0.0013196870370147246,-0.03379523033715609,0.12006862771329131,0.08139022927523187,-0.06627501452550642,0.05517397412669518,0.07751983327939364,0.03339421454299132,0.0953327457148752,0.08790652429381868,-0.058394749571558976,0.16690368837231312,-0.3552044695899246,0.12075205410556686,0.006700146512847602,-0.1606434330638613,0.20072457540619976,-0.293819442554245
tlt_ret_1d,0.0601499480680497,-0.1357031023388365,0.1557883590771576,0.03695511222379111,-0.0025183573762004585,-0.11760633490198998,0.006711203260060694,0.04058695182650213,0.353670027753758,-0.13316898421816664,-0.026462253980093664,-0.2574121643737792,0.0030692197140182453,0.02378107727362371,-0.03589245429757828,-0.2070997677150599,0.075185838473543,0.2805292429066382,0.21994439275298167,0.037020132958033455,0.5101358086007417,-0.08307101897749254,0.1067256709719689,0.012310762799795188
