regime,regime_name,feature,mean,z_score
0,R0: Calm / risk-on,cpi_yoy,0.01879799846918225,-1.0000000000000002
0,R0: Calm / risk-on,dgs10_level,2.023181818181818,-1.0
0,R0: Calm / risk-on,gld_ret_20d,0.002697895340570529,-1.0
0,R0: Calm / risk-on,nfci_level,-0.5333347593582888,-1.0
0,R0: Calm / risk-on,spy_drawdown_60d,-0.02101674314072734,1.0000000000000002
0,R0: Calm / risk-on,spy_ret_20d,0.012583619512370758,1.0000000000000002
0,R0: Calm / risk-on,spy_vol_20d,0.008030132617027072,-0.9999999999999993
0,R0: Calm / risk-on,tlt_ret_20d,0.005201839824959409,1.0
0,R0: Calm / risk-on,tnx_level,2.0201390342597656,-0.9999999999999998
0,R0: Calm / risk-on,unrate_level,5.202941176470588,1.0000000000000004
0,R0: Calm / risk-on,vix_change_5d,0.014625679362903918,1.0
0,R0: Calm / risk-on,vix_level,16.59026738539099,-0.9999999999999989
1,R1: Stress / risk-off,cpi_yoy,0.04445545117535688,0.9999999999999999
1,R1: Stress / risk-off,dgs10_level,3.8012682926829267,1.0
1,R1: Stress / risk-off,gld_ret_20d,0.016442225734591594,1.0
1,R1: Stress / risk-off,nfci_level,-0.3574353170731708,1.0
1,R1: Stress / risk-off,spy_drawdown_60d,-0.03966650423676155,-0.9999999999999998
1,R1: Stress / risk-off,spy_ret_20d,0.004099001955668089,-1.0
1,R1: Stress / risk-off,spy_vol_20d,0.010763009972183317,1.0000000000000007
1,R1: Stress / risk-off,tlt_ret_20d,-0.006189649585405168,-1.0
1,R1: Stress / risk-off,tnx_level,3.80003413572544,1.0000000000000002
1,R1: Stress / risk-off,unrate_level,3.8873170731707316,-0.9999999999999997
1,R1: Stress / risk-off,vix_change_5d,-0.0051219381937166455,-1.0
1,R1: Stress / risk-off,vix_level,19.75209762294118,1.000000000000001
