target,task,feature,mutual_information,permutation_p_value,rank
next_return_spy,regression,spy_drawdown_60d,0.16243941501020176,0.009900990099009901,1
next_return_spy,regression,vix_level,0.15570852201247165,0.009900990099009901,2
next_return_spy,regression,spy_intraday_range,0.079807480537184,0.009900990099009901,3
next_return_spy,regression,umcsent_level,0.06304480994843864,0.019801980198019802,4
next_return_spy,regression,spy_vol_20d,0.05654506046910246,0.019801980198019802,5
next_return_spy,regression,qqq_spy_log_ratio,0.05223072533860096,0.019801980198019802,6
next_return_spy,regression,nfci_chg_4w,0.05109050697287687,0.0297029702970297,7
next_return_spy,regression,gld_ma_gap_5_20,0.050812356999716535,0.019801980198019802,8
next_return_spy,regression,spy_ret_20d,0.049628812601843375,0.019801980198019802,9
next_return_spy,regression,spy_vol_5d,0.04639429410278195,0.04950495049504951,10
next_return_spy,regression,unrate_level,0.04571481332589178,0.039603960396039604,11
next_return_spy,regression,vix_change_5d,0.04405410008475652,0.04950495049504951,12
next_return_spy,regression,dgs10_level,0.04080845639874209,0.039603960396039604,13
next_return_spy,regression,gld_vol_20d,0.03915055074977358,0.0297029702970297,14
next_return_spy,regression,tnx_level,0.038761690891837564,0.04950495049504951,15
next_return_spy,regression,spy_ret_1d,0.034608351521975056,0.0891089108910891,16
next_return_spy,regression,tlt_ret_1d,0.03451113441324072,0.04950495049504951,17
next_return_spy,regression,tlt_ma_gap_5_20,0.03327741840386489,0.07920792079207921,18
next_return_spy,regression,spy_tlt_corr_20d,0.031101862066420072,0.0891089108910891,19
next_return_spy,regression,dff_level,0.030167331601165692,0.10891089108910891,20
next_return_spy,regression,icsa_log_level,0.02671412739666401,0.13861386138613863,21
next_return_spy,regression,t10y2y_level,0.02541380035593166,0.1188118811881188,22
next_return_spy,regression,nfci_level,0.02519527121173404,0.12871287128712872,23
next_return_spy,regression,spy_ma_gap_5_20,0.024273267286007538,0.06930693069306931,24
next_return_spy,regression,spy_ret_5d,0.02404436596445292,0.13861386138613863,25
next_return_spy,regression,indpro_yoy,0.02325375409795516,0.2871287128712871,26
next_return_spy,regression,t10yie_level,0.022765731695463032,0.1188118811881188,27
next_return_spy,regression,tlt_volume_z_20,0.01919275050259328,0.1485148514851485,28
next_return_spy,regression,tlt_ret_5d,0.018486902152035967,0.1782178217821782,29
next_return_spy,regression,tlt_intraday_range,0.014190714424112905,0.21782178217821782,30
next_return_spy,regression,cpi_yoy,0.013363306502421235,0.32673267326732675,31
next_return_spy,regression,umcsent_chg_3m,0.012159667975499389,0.297029702970297,32
next_return_spy,regression,spy_gld_corr_20d,0.011223795364791567,0.31683168316831684,33
next_return_spy,regression,tlt_vol_5d,0.0110290268509603,0.3465346534653465,34
next_return_spy,regression,spy_volume_z_20,0.008849125973733774,0.3465346534653465,35
next_return_spy,regression,dff_chg_5d,0.008517495606790604,0.24752475247524752,36
next_return_spy,regression,tlt_ret_20d,0.007046862491896011,0.33663366336633666,37
next_return_spy,regression,gld_ret_1d,0.0008234408853695641,0.4158415841584158,38
next_return_spy,regression,tnx_change_5d,0.0003535271190568956,0.5445544554455446,39
next_return_spy,regression,tlt_vol_20d,0.0,1.0,40
next_return_spy,regression,tlt_drawdown_60d,0.0,1.0,41
next_return_spy,regression,gld_ret_5d,0.0,1.0,42
next_return_spy,regression,gld_ret_20d,0.0,1.0,43
next_return_spy,regression,gld_vol_5d,0.0,1.0,44
next_return_spy,regression,gld_drawdown_60d,0.0,1.0,45
next_return_spy,regression,gld_intraday_range,0.0,1.0,46
next_return_spy,regression,gld_volume_z_20,0.0,1.0,47
next_return_spy,regression,qqq_spy_ratio_chg_5d,0.0,1.0,48
next_return_spy,regression,dgs10_chg_5d,0.0,1.0,49
next_return_spy,regression,icsa_chg_4w,0.0,1.0,50
next_return_spy,regression,t10y2y_sign,0.0,1.0,51
next_return_spy,regression,t10y2y_chg_5d,0.0,1.0,52
next_return_spy,regression,t10yie_chg_5d,0.0,1.0,53
next_return_spy,regression,unrate_chg_3m,0.0,1.0,54
next_return_tlt,regression,tlt_intraday_range,0.063391239058181,0.009900990099009901,1
next_return_tlt,regression,t10y2y_level,0.04699955379823484,0.0297029702970297,2
next_return_tlt,regression,spy_vol_20d,0.038517681002901316,0.039603960396039604,3
next_return_tlt,regression,nfci_level,0.03294426805484152,0.09900990099009901,4
next_return_tlt,regression,unrate_level,0.02794218251969305,0.12871287128712872,5
next_return_tlt,regression,spy_ma_gap_5_20,0.02766880619350065,0.13861386138613863,6
next_return_tlt,regression,gld_ret_1d,0.02731799019810488,0.10891089108910891,7
next_return_tlt,regression,umcsent_level,0.026312193205898726,0.18811881188118812,8
next_return_tlt,regression,spy_ret_20d,0.02542190156332147,0.10891089108910891,9
next_return_tlt,regression,spy_intraday_range,0.025256254448757343,0.12871287128712872,10
next_return_tlt,regression,gld_vol_20d,0.025060682023937186,0.1188118811881188,11
next_return_tlt,regression,qqq_spy_log_ratio,0.02468357275405797,0.15841584158415842,12
next_return_tlt,regression,vix_level,0.02397889267934561,0.16831683168316833,13
next_return_tlt,regression,icsa_log_level,0.023661372631239352,0.16831683168316833,14
next_return_tlt,regression,dgs10_level,0.02229075431652694,0.12871287128712872,15
next_return_tlt,regression,tlt_ret_1d,0.020445552029584757,0.1782178217821782,16
next_return_tlt,regression,tnx_level,0.019506136196962398,0.1188118811881188,17
next_return_tlt,regression,indpro_yoy,0.016948934344222177,0.21782178217821782,18
next_return_tlt,regression,umcsent_chg_3m,0.016761542819499375,0.24752475247524752,19
next_return_tlt,regression,vix_change_5d,0.014946978814326162,0.24752475247524752,20
next_return_tlt,regression,t10y2y_sign,0.014209538266135358,0.13861386138613863,21
next_return_tlt,regression,tlt_ret_20d,0.012900077018923817,0.3465346534653465,22
next_return_tlt,regression,icsa_chg_4w,0.012333924105311755,0.2079207920792079,23
next_return_tlt,regression,spy_volume_z_20,0.010513831847814181,0.297029702970297,24
next_return_tlt,regression,nfci_chg_4w,0.0093003788708228,0.36633663366336633,25
next_return_tlt,regression,t10yie_level,0.007430636337503849,0.43564356435643564,26
next_return_tlt,regression,tlt_ret_5d,0.007061905935738189,0.44554455445544555,27
next_return_tlt,regression,spy_tlt_corr_20d,0.006603666237507522,0.39603960396039606,28
next_return_tlt,regression,spy_vol_5d,0.005472188171060655,0.4752475247524752,29
next_return_tlt,regression,gld_ret_20d,0.005445027471910002,0.4158415841584158,30
next_return_tlt,regression,gld_ma_gap_5_20,0.003990724937347423,0.38613861386138615,31
next_return_tlt,regression,t10yie_chg_5d,0.0025110813219182404,0.5346534653465347,32
next_return_tlt,regression,spy_gld_corr_20d,0.002288772844669662,0.43564356435643564,33
next_return_tlt,regression,gld_volume_z_20,0.0008970635740221944,0.5148514851485149,34
next_return_tlt,regression,spy_ret_1d,0.0,1.0,35
next_return_tlt,regression,spy_ret_5d,0.0,1.0,36
next_return_tlt,regression,spy_drawdown_60d,0.0,1.0,37
next_return_tlt,regression,tlt_vol_5d,0.0,1.0,38
next_return_tlt,regression,tlt_vol_20d,0.0,1.0,39
next_return_tlt,regression,tlt_drawdown_60d,0.0,1.0,40
next_return_tlt,regression,tlt_ma_gap_5_20,0.0,1.0,41
next_return_tlt,regression,tlt_volume_z_20,0.0,1.0,42
next_return_tlt,regression,gld_ret_5d,0.0,1.0,43
next_return_tlt,regression,gld_vol_5d,0.0,1.0,44
next_return_tlt,regression,gld_drawdown_60d,0.0,1.0,45
next_return_tlt,regression,gld_intraday_range,0.0,1.0,46
next_return_tlt,regression,qqq_spy_ratio_chg_5d,0.0,1.0,47
next_return_tlt,regression,tnx_change_5d,0.0,1.0,48
next_return_tlt,regression,cpi_yoy,0.0,1.0,49
next_return_tlt,regression,dff_level,0.0,1.0,50
next_return_tlt,regression,dff_chg_5d,0.0,1.0,51
